time-min,LP-fr,MP-fr,CP-fr,MPM-fr,LP,MP,CP,MPM
0,1,0,0,0,0.0001,0,0,0
2,0.714166415,0.077744559,0.145067641,0.063021384,7.14166E-05,7.77446E-06,1.45068E-05,6.30214E-06
10,0.078302576,0.022813617,0.774601228,0.12428258,7.83026E-06,2.28136E-06,7.74601E-05,1.24283E-05
18,0.04384994,0.024303463,0.823449739,0.108396858,4.38499E-06,2.43035E-06,8.2345E-05,1.08397E-05
26,0.020284103,0.024139111,0.851397744,0.104179042,2.02841E-06,2.41391E-06,8.51398E-05,1.04179E-05
34,0.019696218,0.032141087,0.84254097,0.105621725,1.96962E-06,3.21411E-06,8.42541E-05,1.05622E-05
42,0.015521111,0.033111522,0.846545326,0.104822041,1.55211E-06,3.31115E-06,8.46545E-05,1.04822E-05
50,0.010119042,0.037060778,0.845969064,0.106851116,1.0119E-06,3.70608E-06,8.45969E-05,1.06851E-05
58,0.007183777,0.031400434,0.862035937,0.099379852,7.18378E-07,3.14004E-06,8.62036E-05,9.93799E-06
66,0.005822771,0.036880643,0.847377975,0.109918611,5.82277E-07,3.68806E-06,8.47378E-05,1.09919E-05
74,0.004603205,0.034859365,0.852758555,0.107778875,4.60321E-07,3.48594E-06,8.52759E-05,1.07779E-05