hrs,LP-fr,MP-fr,CP-fr,MPM-fr,LP,MP,CP,MPM
0,1,0,0,0,0.0001,0,0,0
0.05,0.977827616,0.020374294,0.001544889,0.0002532,9.77828E-05,2.03743E-06,1.54489E-07,2.532E-08
0.566666667,0.768548212,0.190857622,0.03910587,0.001488297,7.68548E-05,1.90858E-05,3.91059E-06,1.4883E-07
1.183333333,0.676951199,0.229782332,0.092666134,0.000532927,6.76951E-05,2.29782E-05,9.26661E-06,5.32927E-08
1.783333333,0.650274093,0.212719523,0.136589116,0.000201252,6.50274E-05,2.1272E-05,1.36589E-05,2.01252E-08
2.383333333,0.652230378,0.178568775,0.168975207,0,6.5223E-05,1.78569E-05,1.68975E-05,0
3,0.651351993,0.149672936,0.19864493,0,6.51352E-05,1.49673E-05,1.98645E-05,0
3.6,0.659574791,0.119608844,0.220386398,0,6.59575E-05,1.19609E-05,2.20386E-05,0
4.2,0.660713903,0.103488928,0.235064301,0,6.60714E-05,1.03489E-05,2.35064E-05,0
4.816666667,0.656188244,0.085485755,0.257386982,0,6.56188E-05,8.54858E-06,2.57387E-05,0
5.416666667,0.657353883,0.07406136,0.267431092,0,6.57354E-05,7.40614E-06,2.67431E-05,0
6.016666667,0.656365264,0.062358022,0.280112842,0,6.56365E-05,6.2358E-06,2.80113E-05,0
6.633333333,0.654667634,0.052742742,0.290888901,0,6.54668E-05,5.27427E-06,2.90889E-05,0
7.233333333,0.669304073,0.042533735,0.286346248,0,6.69304E-05,4.25337E-06,2.86346E-05,0
7.833333333,0.670021702,0.036163633,0.291711717,0,6.70022E-05,3.61636E-06,2.91712E-05,0
8.883333333,0.678628984,0.027211649,0.29159336,0,6.78629E-05,2.72116E-06,2.91593E-05,0
9.933333333,0.682062904,0.0215775,0.292998579,0,6.82063E-05,2.15775E-06,2.92999E-05,0
10.96666667,0.686743374,0.016603444,0.292637646,0,6.86743E-05,1.66034E-06,2.92638E-05,0
12.01666667,0.679494507,0.013404074,0.302107099,0,6.79495E-05,1.34041E-06,3.02107E-05,0
13.05,0.696925627,0.010760654,0.286500491,0,6.96926E-05,1.07607E-06,2.865E-05,0
14.23333333,0.704143645,0.008057456,0.281287813,0,7.04144E-05,8.05746E-07,2.81288E-05,0
23.53333333,0.740011133,0.001691873,0.243283764,0,7.40011E-05,1.69187E-07,2.43284E-05,0
27.38333333,0.748776832,0.004789144,0.226123142,0,7.48777E-05,4.78914E-07,2.26123E-05,0
37.23333333,0.791765042,9.85256E-05,0.17692097,0,7.91765E-05,9.85256E-09,1.76921E-05,0
45.98333333,0.813061588,0,0.146074368,0,8.13062E-05,0,1.46074E-05,0
61.6,0.845399067,0,0.099107917,0,8.45399E-05,0,9.91079E-06,0
70.4,0.861063405,0,0.077979857,0,8.61063E-05,0,7.79799E-06,0